Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
6/2/2022,730000000,Winters_WTF,7285,130000,0.000178082
6/3/2022,,Winters_WTF,7285,,
6/4/2022,,Winters_WTF,7285,,
6/5/2022,,Winters_WTF,7285,,
6/6/2022,1100000000,Winters_WTF,7285,150000,0.000136364
6/7/2022,1200000000,Winters_WTF,7285,92000,7.666666666666667e-05
6/8/2022,520000000,Winters_WTF,7285,140000,0.000269231
6/9/2022,850000000,Winters_WTF,7285,150000,0.000176471
6/10/2022,1600000000,Winters_WTF,7285,71000,4.4375e-05
6/11/2022,,Winters_WTF,7285,,
6/12/2022,,Winters_WTF,7285,,
6/13/2022,1100000000,Winters_WTF,7285,83000,7.545454545454545e-05
6/14/2022,1000000000,Winters_WTF,7285,310000,0.00031
6/15/2022,710000000,Winters_WTF,7285,34000,4.788732394366197e-05
6/16/2022,1400000000,Winters_WTF,7285,65000,4.642857142857143e-05
6/17/2022,660000000,Winters_WTF,7285,83000,0.000125758
6/18/2022,,Winters_WTF,7285,,
6/19/2022,,Winters_WTF,7285,,
6/20/2022,880000000,Winters_WTF,7285,54000,6.136363636363636e-05
6/21/2022,560000000,Winters_WTF,7285,24000,4.2857142857142856e-05
6/22/2022,1900000000,Winters_WTF,7285,120000,6.31578947368421e-05
6/23/2022,770000000,Winters_WTF,7285,94000,0.000122078
6/24/2022,680000000,Winters_WTF,7285,450000,0.000661765
6/25/2022,,Winters_WTF,7285,,
6/26/2022,,Winters_WTF,7285,,
6/27/2022,310000000,Winters_WTF,7285,57000,0.000183871
6/28/2022,2800000000,Winters_WTF,7285,240000,8.571428571428571e-05
6/29/2022,320000000,Winters_WTF,7285,76000,0.0002375
6/30/2022,970000000,Winters_WTF,7285,830000,0.00085567
7/1/2022,1000000000,Winters_WTF,7285,310000,0.00031
7/2/2022,,Winters_WTF,7285,,
7/3/2022,,Winters_WTF,7285,,
7/4/2022,,Winters_WTF,7285,,
7/5/2022,1500000000,Winters_WTF,7285,59000,3.933333333333333e-05
7/6/2022,1200000000,Winters_WTF,7285,87000,7.25e-05
7/7/2022,1200000000,Winters_WTF,7285,210000,0.000175
7/8/2022,740000000,Winters_WTF,7285,88000,0.000118919
7/9/2022,,Winters_WTF,7285,,
7/10/2022,,Winters_WTF,7285,,
7/11/2022,2400000000,Winters_WTF,7285,56000,2.3333333333333332e-05
7/12/2022,2600000000,Winters_WTF,7285,190000,7.307692307692307e-05
7/13/2022,500000000,Winters_WTF,7285,200000,0.0004
7/14/2022,530000000,Winters_WTF,7285,180000,0.000339623
7/15/2022,570000000,Winters_WTF,7285,49000,8.596491228070175e-05
7/16/2022,,Winters_WTF,7285,,
7/17/2022,,Winters_WTF,7285,,
7/18/2022,510000000,Winters_WTF,7285,130000,0.000254902
7/19/2022,400000000,Winters_WTF,7285,190000,0.000475
7/20/2022,600000000,Winters_WTF,7285,75000,0.000125
7/21/2022,480000000,Winters_WTF,7285,43000,8.958333333333333e-05
7/22/2022,310000000,Winters_WTF,7285,46000,0.000148387
7/23/2022,,Winters_WTF,7285,,
7/24/2022,,Winters_WTF,7285,,
7/25/2022,,Winters_WTF,7285,,
7/26/2022,500000000,Winters_WTF,7285,130000,0.00026
7/27/2022,330000000,Winters_WTF,7285,92000,0.000278788
7/28/2022,600000000,Winters_WTF,7285,250000,0.000416667
7/29/2022,6200000000,Winters_WTF,7285,350000,5.6451612903225804e-05
7/30/2022,,Winters_WTF,7285,,
7/31/2022,,Winters_WTF,7285,,
8/1/2022,1800000000,Winters_WTF,7285,350000,0.000194444
8/2/2022,1200000000,Winters_WTF,7285,78000,6.5e-05
8/3/2022,2900000000,Winters_WTF,7285,89000,3.0689655172413796e-05
8/4/2022,1000000000,Winters_WTF,7285,110000,0.00011
8/5/2022,970000000,Winters_WTF,7285,200000,0.000206186
8/6/2022,,Winters_WTF,7285,,
8/7/2022,,Winters_WTF,7285,,
8/8/2022,,Winters_WTF,7285,,
8/9/2022,870000000,Winters_WTF,7285,72000,8.275862068965517e-05
8/10/2022,290000000,Winters_WTF,7285,14000,4.8275862068965517e-05
8/11/2022,550000000,Winters_WTF,7285,41000,7.454545454545455e-05
8/12/2022,,Winters_WTF,7285,,
8/13/2022,,Winters_WTF,7285,,
8/14/2022,,Winters_WTF,7285,,
8/15/2022,,Winters_WTF,7285,,
